code_departement,annee,nombre_auteurs_poursuivables
01,2002,
01,2007,
01,2012,10580.0
01,2017,10324.0
01,2022,9248.0
02,2002,
02,2007,
02,2012,11894.0
02,2017,9711.0
02,2022,9273.0
06,2002,
06,2007,
06,2012,30691.0
06,2017,28107.0
06,2022,25007.0
13,2002,
13,2007,
13,2012,47913.0
13,2017,50155.0
13,2022,46607.0
21,2002,
21,2007,
21,2012,11295.0
21,2017,11168.0
21,2022,8401.0
29,2002,
29,2007,
29,2012,17316.0
29,2017,16069.0
29,2022,13772.0
31,2002,
31,2007,
31,2012,29396.0
31,2017,32098.0
31,2022,22428.0
33,2002,
33,2007,
33,2012,45047.0
33,2017,32385.0
33,2022,27882.0
34,2002,
34,2007,
34,2012,27440.0
34,2017,25362.0
34,2022,24685.0
38,2002,
38,2007,
38,2012,19890.0
38,2017,20975.0
38,2022,30544.0
44,2002,
44,2007,
44,2012,30426.0
44,2017,28519.0
44,2022,23259.0
54,2002,
54,2007,
54,2012,15927.0
54,2017,16304.0
54,2022,14032.0
59,2002,
59,2007,
59,2012,73194.0
59,2017,63775.0
59,2022,53435.0
75,2002,
75,2007,
75,2012,105109.0
75,2017,70486.0
75,2022,69604.0
83,2002,
83,2007,
83,2012,26017.0
83,2017,26007.0
83,2022,21983.0
971,2002,
971,2007,
971,2012,16569.0
971,2017,13348.0
971,2022,12097.0
972,2002,
972,2007,
972,2012,6374.0
972,2017,11271.0
972,2022,8976.0
973,2002,
973,2007,
973,2012,7491.0
973,2017,7883.0
973,2022,7375.0
974,2002,
974,2007,
974,2012,16627.0
974,2017,16609.0
974,2022,13594.0
976,2002,
976,2007,
976,2012,
976,2017,
976,2022,4293.0
