code_departement,annee,logements_sociaux
01,2002,
01,2007,
01,2012,
01,2017,
01,2022,47407.0
02,2002,
02,2007,
02,2012,
02,2017,
02,2022,40922.0
06,2002,
06,2007,
06,2012,
06,2017,
06,2022,58685.0
13,2002,
13,2007,
13,2012,
13,2017,
13,2022,162109.0
17,2002,
17,2007,
17,2012,
17,2017,
17,2022,29722.0
21,2002,
21,2007,
21,2012,
21,2017,
21,2022,37029.0
29,2002,
29,2007,
29,2012,
29,2017,
29,2022,48430.0
31,2002,
31,2007,
31,2012,
31,2017,
31,2022,94394.0
33,2002,
33,2007,
33,2012,
33,2017,
33,2022,108888.0
34,2002,
34,2007,
34,2012,
34,2017,
34,2022,67668.0
38,2002,
38,2007,
38,2012,
38,2017,
38,2022,91920.0
44,2002,
44,2007,
44,2012,
44,2017,
44,2022,92148.0
54,2002,
54,2007,
54,2012,
54,2017,
54,2022,53629.0
59,2002,
59,2007,
59,2012,
59,2017,
59,2022,275273.0
60,2002,
60,2007,
60,2012,
60,2017,
60,2022,67912.0
62,2002,
62,2007,
62,2012,
62,2017,
62,2022,161622.0
69,2002,
69,2007,
69,2012,
69,2017,
69,2022,179353.0
75,2002,
75,2007,
75,2012,
75,2017,
75,2022,236748.0
83,2002,
83,2007,
83,2012,
83,2017,
83,2022,53552.0
974,2002,
974,2007,
974,2012,
974,2017,
974,2022,78957.0
