code_departement,annee,population
01,2002,535616.0
01,2007,574377.0
01,2012,612191.0
01,2017,643350.0
01,2022,671289.0
02,2002,536784.0
02,2007,537820.0
02,2012,540888.0
02,2017,534490.0
02,2022,525558.0
06,2002,1035271.0
06,2007,1082465.0
06,2012,1082014.0
06,2017,1083310.0
06,2022,1114579.0
13,2002,1876310.0
13,2007,1958926.0
13,2012,1984784.0
13,2017,2024162.0
13,2022,2069811.0
17,2002,
17,2007,
17,2012,
17,2017,
17,2022,
21,2002,511197.0
21,2007,519143.0
21,2012,527403.0
21,2017,533819.0
21,2022,537577.0
29,2002,865006.0
29,2007,885906.0
29,2012,901293.0
29,2017,909028.0
29,2022,927912.0
31,2002,1102414.0
31,2007,1202920.0
31,2012,1279349.0
31,2017,1362672.0
31,2022,1456261.0
33,2002,1330095.0
33,2007,1409345.0
33,2012,1483712.0
33,2017,1583384.0
33,2022,1674980.0
34,2002,936987.0
34,2007,1011207.0
34,2012,1077627.0
34,2017,1144892.0
34,2022,1217331.0
38,2002,1124185.0
38,2007,1178714.0
38,2012,1224993.0
38,2017,1258722.0
38,2022,1291380.0
44,2002,1174492.0
44,2007,1246798.0
44,2012,1313321.0
44,2017,1394909.0
44,2022,1473156.0
54,2002,719199.0
54,2007,726592.0
54,2012,733266.0
54,2017,733481.0
54,2022,732898.0
59,2002,2558213.0
59,2007,2564950.0
59,2012,2587128.0
59,2017,2604361.0
59,2022,2616909.0
60,2002,
60,2007,
60,2012,
60,2017,
60,2022,
62,2002,
62,2007,
62,2012,
62,2017,
62,2022,
69,2002,
69,2007,
69,2012,
69,2017,
69,2022,
75,2002,2145472.0
75,2007,2193030.0
75,2012,2240621.0
75,2017,2187526.0
75,2022,2113705.0
83,2002,933602.0
83,2007,995934.0
83,2012,1021669.0
83,2017,1058740.0
83,2022,1108364.0
974,2002,740207.0
974,2007,794107.0
974,2012,833944.0
974,2017,853659.0
974,2022,881348.0
