Résultats - Tour 1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Résultats à 9h30 - Toutes les commissions de recensement des votes n'ont pas terminé leur travail,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
France entière,,,,,,,,
,,,,,,,,
,,,,,,,,
.,Nombre,%ins,%vot,,Candidat,Voix,%_ins,%_exp
Inscrits,47565637,,,,M. DUPONT-AIGNAN Nicolas,1694898,3.56,4.7
Abstentions,10570591,22.22,,,Mme LE PEN Marine,7678558,16.14,21.3
Votants,36995046,77.78,,,M. MACRON Emmanuel,8654331,18.19,24.01
Blancs,655404,1.38,1.77,,M. HAMON Benoît,2291025,4.82,6.36
Nuls,290271,0.61,0.78,,Mme ARTHAUD Nathalie,232439,0.49,0.64
Exprimés,36049371,75.79,97.44,,M. POUTOU Philippe,394510,0.83,1.09
,,,,,M. CHEMINADE Jacques,65671,0.14,0.18
,,,,,M. LASSALLE Jean,435367,0.92,1.21
,,,,,M. MÉLENCHON Jean-Luc,7058859,14.84,19.58
,,,,,M. ASSELINEAU François,332592,0.7,0.92
,,,,,M. FILLON François,7211121,15.16,20
,,,,,,36049371,,
,,,,,,,,
,,,,,,,,
Métropole,,,,,,,,
,,,,,,,,
,,,,,,,,
.,Nombre,%ins,%vot,,Candidat,Voix,%_ins,%_exp
Inscrits,44443165,,,,M. DUPONT-AIGNAN Nicolas,1665611,3.75,4.8
Abstentions,8880391,19.98,,,Mme LE PEN Marine,7465677,16.8,21.52
Votants,35562774,80.02,,,M. MACRON Emmanuel,8267681,18.6,23.83
Blancs,617301,1.39,1.74,,M. HAMON Benoît,2189615,4.93,6.31
Nuls,253103,0.57,0.71,,Mme ARTHAUD Nathalie,219286,0.49,0.63
Exprimés,34692370,78.06,97.55,,M. POUTOU Philippe,376995,0.85,1.09
,,,,,M. CHEMINADE Jacques,62277,0.14,0.18
,,,,,M. LASSALLE Jean,427666,0.96,1.23
,,,,,M. MÉLENCHON Jean-Luc,6804158,15.31,19.61
,,,,,M. ASSELINEAU François,313945,0.71,0.9
,,,,,M. FILLON François,6899459,15.52,19.89
,,,,,,34692370,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Outre-mer,,,,,,,,
,,,,,,,,
,,,,,,,,
.,Nombre,%ins,%vot,,Candidat,Voix,%_ins,%_exp
Inscrits,1873952,,,,M. DUPONT-AIGNAN Nicolas,20668,1.1,2.55
Abstentions,993025,52.99,,,Mme LE PEN Marine,177627,9.48,21.9
Votants,880927,47.01,,,M. MACRON Emmanuel,165561,8.83,20.41
Blancs,34994,1.87,3.97,,M. HAMON Benoît,63856,3.41,7.87
Nuls,34758,1.85,3.95,,Mme ARTHAUD Nathalie,11868,0.63,1.46
Exprimés,811175,43.29,92.08,,M. POUTOU Philippe,14184,0.76,1.75
,,,,,M. CHEMINADE Jacques,2395,0.13,0.3
,,,,,M. LASSALLE Jean,5224,0.28,0.64
,,,,,M. MÉLENCHON Jean-Luc,168457,8.99,20.77
,,,,,M. ASSELINEAU François,13147,0.7,1.62
,,,,,M. FILLON François,168188,8.98,20.73
,,,,,,811175,,
