année,population
2025,1308807
2024,1302971
2023,1297087
2022,1291380
2021,1284948
2020,1277513
2019,1271166
2018,1263563
2017,1258722
2016,1252912
2015,1251060
2014,1243597
2013,1235387
2012,1224993
2011,1215212
2010,1206374
2009,1197038
2008,1188660
2007,1178714
2006,1169491
2005,1157903
2004,1145897
2003,1135080
2002,1124185
2001,1113017
2000,1102331
1999,1092778
1998,1085203
1997,1076887
1996,1067838
1995,1059768
1994,1051932
1993,1044677
1992,1035067
1991,1024568
1990,1015238
1989,1001823
1988,990457
1987,980703
1986,972424
1985,964615
1984,955593
1983,945771
1982,935878
1981,923628
1980,911882
1979,900657
1978,890555
1977,880010
1976,869354
1975,859713
